"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"GNB","Guinea-Bissau",1088850,1110835,1132505,1154372,1177133,1201305,1227105,1254454,1283297,1313492,1344931,1377582,1411545,1446936,1483920,1522603,1562996,1604981,1648259,1692433,1737207,1782434,1828146,1874304,1920917,1967998
"GUY","Guyana",761298,760801,757975,753778,749676,746718,745206,744789,745142,745737,746156,746335,746477,746815,747718,749430,752029,755388,759281,763371,767433,771363,775218,779007,782775,786559
"HTI","Haiti",7744509,7887312,8030721,8174680,8319070,8463802,8608810,8754148,8900108,9047082,9195289,9344784,9495336,9646570,9798046,9949318,10100320,10250922,10400672,10549007,10695540,10839976,10982367,11123183,11263079,11402533
"HND","Honduras",5709010,5874814,6045704,6220405,6397140,6574510,6751912,6929267,7106323,7282953,7458982,7634295,7808520,7980955,8150780,8317467,8480670,8640692,8798524,8955579,9112904,9270794,9429016,9587523,9746115,9904608
"HUN","Hungary",10328965,10311238,10290486,10266570,10237530,10210971,10187576,10158608,10129552,10107146,10087065,10071370,10055780,10038188,10022650,10000023,9971727,9920362,9893082,9866468,9843028,9814023,9787966,9775564,9771141,9750149
"ISL","Iceland",267468,268916,271128,274047,277381,281205,284968,287523,289521,292074,296734,303782,311566,317414,318499,318041,319014,320716,323764,327386,330815,335439,343400,352721,360563,366463
"IND","India",963922586,982365248,1000900028,1019483586,1038058154,1056575548,1075000094,1093317187,1111523146,1129623466,1147609924,1165486291,1183209471,1200669762,1217726217,1234281163,1250287939,1265780243,1280842119,1295600768,1310152392,1324517250,1338676779,1352642283,1366417756,1380004385
"IDN","Indonesia",196934257,199901231,202826444,205724597,208615171,211513822,214427419,217357790,220309473,223285666,226289468,229318262,232374239,235469755,238620554,241834226,245115988,248451714,251805314,255128076,258383257,261556386,264650969,267670549,270625567,273523621
"IRN","Iran, Islamic Republic of",61442658,62294919,63136309,63971836,64800875,65623397,66449111,67284801,68122947,68951279,69762345,70554756,71336476,72120608,72924833,73762519,74634959,75539881,76481963,77465769,78492208,79563991,80673888,81800204,82913893,83992953
"IRQ","Iraq",20149342,20783073,21439579,22114330,22802061,23497589,24208178,24931922,25644503,26313838,26922279,27448124,27911242,28385739,28973157,29741977,30725305,31890012,33157061,34411949,35572269,36610632,37552789,38433604,39309789,40222503
"IRL","Ireland",3608841,3637510,3674171,3712696,3754786,3805174,3866243,3931947,3996521,4070262,4159914,4273591,4398942,4489544,4535375,4560155,4580084,4599533,4623816,4657740,4701957,4755335,4807388,4867316,4934340,4985674
"ISR","Israel",5545000,5692000,5836000,5971000,6125000,6289000,6439000,6570000,6689700,6809000,6930100,7053700,7180100,7308800,7485600,7623600,7765800,7910500,8059500,8215700,8380100,8546000,8713300,8882800,9054000,9215100
"ITA","Italy",56844303,56860281,56890372,56906744,56916317,56942108,56974100,57059007,57313203,57685327,57969484,58143979,58438310,58826731,59095365,59277417,59379449,59539717,60233948,60789140,60730582,60627498,60536709,60421760,59729081,59449527
"JAM","Jamaica",2533705,2558631,2583914,2608874,2632677,2654698,2674706,2692843,2709438,2725017,2740000,2754414,2768229,2781869,2795839,2810464,2825932,2842128,2858710,2875137,2891024,2906242,2920848,2934853,2948277,2961161
